decision	tier	stem	title	route	ei	etype	label	imprint	number	kind	isbn	date	rak_title	rak_author	rak_publisher	publisher	g_pub	g_isbn	g_date	g_author	g_token	g6	g7	g8	prev_num	prev_isbn	next_num	next_isbn	decision_why	source	cover
APPLY	ACCEPT	bastard	BASTARD!!	seed4	1	aizoban	愛蔵版	Young jump愛蔵版	1	ELEAD	9784087030013	1993-03	BASTARD!!	萩原一至/岸間信明	集英社	集英社	o	o	o	o	o	o	o	o			2	9784087826708	版元o+ISBN連番o+日付o ※種2に在るのに本番未描画=結線もれ	undermerge-elead	
APPLY	ACCEPT	dokaben-super-sutaazuhen	ドカベン スーパースターズ編	seed4	1	bunkobon	文庫版	秋田文庫	1	ELEAD	9784253178174	2007-11	ドカベン スーパースターズ編(1)	水島新司	秋田書店	秋田書店	o	o	o	o	o	o	o	o			15	9784253178358	版元o+ISBN連番o+日付o ※種2に在るのに本番未描画=結線もれ	undermerge-elead	
APPLY	ACCEPT	dokaben-super-sutaazuhen	ドカベン スーパースターズ編	seed4	1	bunkobon	文庫版	秋田文庫	2	ELEAD	9784253178181	2008-02	ドカベン スーパースターズ編(2)	水島新司	秋田書店	秋田書店	o	o	o	o	o	o	o	o			15	9784253178358	版元o+ISBN連番o+日付o ※種2に在るのに本番未描画=結線もれ	undermerge-elead	
APPLY	ACCEPT	dokaben-super-sutaazuhen	ドカベン スーパースターズ編	seed4	1	bunkobon	文庫版	秋田文庫	3	ELEAD	9784253178198	2008-05	ドカベン スーパースターズ編(3)	水島新司	秋田書店	秋田書店	o	o	o	o	o	o	o	o			15	9784253178358	版元o+ISBN連番o+日付o ※種2に在るのに本番未描画=結線もれ	undermerge-elead	
APPLY	ACCEPT	dokaben-super-sutaazuhen	ドカベン スーパースターズ編	seed4	1	bunkobon	文庫版	秋田文庫	4	ELEAD	9784253178204	2008-08	ドカベン スーパースターズ編(4)	水島新司	秋田書店	秋田書店	o	o	o	o	o	o	o	o			15	9784253178358	版元o+ISBN連番o+日付o ※種2に在るのに本番未描画=結線もれ	undermerge-elead	
APPLY	ACCEPT	dokaben-super-sutaazuhen	ドカベン スーパースターズ編	seed4	1	bunkobon	文庫版	秋田文庫	5	ELEAD	9784253178211	2008-10	ドカベン スーパースターズ編(5)	水島新司	秋田書店	秋田書店	o	o	o	o	o	o	o	o			15	9784253178358	版元o+ISBN連番o+日付o ※種2に在るのに本番未描画=結線もれ	undermerge-elead	
APPLY	ACCEPT	dokaben-super-sutaazuhen	ドカベン スーパースターズ編	seed4	1	bunkobon	文庫版	秋田文庫	6	ELEAD	9784253178228	2009-01	ドカベン スーパースターズ編(6)	水島新司	秋田書店	秋田書店	o	o	o	o	o	o	o	o			15	9784253178358	版元o+ISBN連番o+日付o ※種2に在るのに本番未描画=結線もれ	undermerge-elead	
APPLY	ACCEPT	dokaben-super-sutaazuhen	ドカベン スーパースターズ編	seed4	1	bunkobon	文庫版	秋田文庫	7	ELEAD	9784253178235	2009-04	ドカベン スーパースターズ編(7)	水島新司	秋田書店	秋田書店	o	o	o	o	o	o	o	o			15	9784253178358	版元o+ISBN連番o+日付o ※種2に在るのに本番未描画=結線もれ	undermerge-elead	
APPLY	ACCEPT	dokaben-super-sutaazuhen	ドカベン スーパースターズ編	seed4	1	bunkobon	文庫版	秋田文庫	8	ELEAD	9784253178242	2009-07	ドカベン スーパースターズ編(8)	水島新司	秋田書店	秋田書店	o	o	o	o	o	o	o	o			15	9784253178358	版元o+ISBN連番o+日付o ※種2に在るのに本番未描画=結線もれ	undermerge-elead	
APPLY	ACCEPT	dokaben-super-sutaazuhen	ドカベン スーパースターズ編	seed4	1	bunkobon	文庫版	秋田文庫	9	ELEAD	9784253178259	2009-10	ドカベン スーパースターズ編(9)	水島新司	秋田書店	秋田書店	o	o	o	o	o	o	o	o			15	9784253178358	版元o+ISBN連番o+日付o ※種2に在るのに本番未描画=結線もれ	undermerge-elead	
APPLY	ACCEPT	dokaben-super-sutaazuhen	ドカベン スーパースターズ編	seed4	1	bunkobon	文庫版	秋田文庫	10	ELEAD	9784253178266	2010-01	ドカベン スーパースターズ編(10)	水島新司	秋田書店	秋田書店	o	o	o	o	o	o	o	o			15	9784253178358	版元o+ISBN連番o+日付o ※種2に在るのに本番未描画=結線もれ	undermerge-elead	
APPLY	ACCEPT	dokaben-super-sutaazuhen	ドカベン スーパースターズ編	seed4	1	bunkobon	文庫版	秋田文庫	11	ELEAD	9784253178273	2010-04	ドカベン スーパースターズ編(11)	水島新司	秋田書店	秋田書店	o	o	o	o	o	o	o	o			15	9784253178358	版元o+ISBN連番o+日付o ※種2に在るのに本番未描画=結線もれ	undermerge-elead	
APPLY	ACCEPT	dokaben-super-sutaazuhen	ドカベン スーパースターズ編	seed4	1	bunkobon	文庫版	秋田文庫	12	ELEAD	9784253178280	2010-07	ドカベン スーパースターズ編(12)	水島新司	秋田書店	秋田書店	o	o	o	o	o	o	o	o			15	9784253178358	版元o+ISBN連番o+日付o ※種2に在るのに本番未描画=結線もれ	undermerge-elead	
APPLY	ACCEPT	dokaben-super-sutaazuhen	ドカベン スーパースターズ編	seed4	1	bunkobon	文庫版	秋田文庫	13	ELEAD	9784253178297	2010-10	ドカベン スーパースターズ編(13)	水島新司	秋田書店	秋田書店	o	o	o	o	o	o	o	o			15	9784253178358	版元o+ISBN連番o+日付o ※種2に在るのに本番未描画=結線もれ	undermerge-elead	
APPLY	ACCEPT	dokaben-super-sutaazuhen	ドカベン スーパースターズ編	seed4	1	bunkobon	文庫版	秋田文庫	14	ELEAD	9784253178303	2011-01	ドカベン スーパースターズ編(14)	水島新司	秋田書店	秋田書店	o	o	o	o	o	o	o	o			15	9784253178358	版元o+ISBN連番o+日付o ※種2に在るのに本番未描画=結線もれ	undermerge-elead	
APPLY	ACCEPT	hidoku-shinaide	酷くしないで	seed4	1	deluxe	デラックス版	ビーボーイコミックスデラックス	1	ELEAD	9784799730812	2016-10	酷くしないで(1)	ねこ田米蔵	リブレ	リブレ	o	o	o	o	o	o	o	o			10	9784799752128	版元o+ISBN連番o+日付o ※種2に在るのに本番未描画=結線もれ	undermerge-elead	
APPLY	ACCEPT	hole-in-one	ホールインワン	canon:extra[0]	1	bunkobon	集英社文庫コミック版	集英社文庫コミック版	1	ELEAD	9784086178013	2002-03	ホールインワン(1)	鏡丈二/金井たつお	集英社	集英社	o	o	o	o	o	o	o	o			3	9784086178037	版元o+ISBN連番o+日付o ※種2に在るのに本番未描画=結線もれ	undermerge-elead	
APPLY	ACCEPT	hole-in-one	ホールインワン	canon:extra[0]	1	bunkobon	集英社文庫コミック版	集英社文庫コミック版	2	ELEAD	9784086178020	2002-03	ホールインワン(2)	鏡丈二/金井たつお	集英社	集英社	o	o	o	o	o	o	o	o			3	9784086178037	版元o+ISBN連番o+日付o ※種2に在るのに本番未描画=結線もれ	undermerge-elead	
APPLY	ACCEPT	houkago-hokenshitsu	放課後保健室	seed4	1	bunkobon	文庫版	秋田文庫	1	ELEAD	9784253180924	2012-01	放課後保健室(1)	水城せとな	秋田書店	秋田書店	o	o	o	o	o	o	o	o			2	9784253180931	版元o+ISBN連番o+日付o ※種2に在るのに本番未描画=結線もれ	undermerge-elead	
APPLY	ACCEPT	lupin-iii	ルパン三世	canon:extra[3]	4	bunkobon	双葉文庫(1995)	双葉文庫	1	ELEAD	9784575720013	1994-11	ルパン三世(第1巻)	モンキー・パンチ	双葉社	双葉社	o	o	o	o	o	o	o	o			9	9784575720204	版元o+ISBN連番o+日付o ※種2に在るのに本番未描画=結線もれ	undermerge-elead	
